Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
75016,B0026RQTGE,A31ZK64VBQLL6,Rosie,0,0,5,1305936000,My dog  loves them,"Maddie loves her greenie treats,she would eat the whole box if I allowed her..The treats are very special to her..As soon as I give her one she heads for the couch, away from everybody,so she can relish her treat in private...Also good for her teeth..Great treats for my little dog..very pleased with them"
21549,B002QWP89S,A2D9ZDPJ6YJVO,Sadie,0,2,1,1333929600,Dog wont eat them,Had to buy another box of the same thing at Petsmart. She eats those.  Must not be fresh.  How can you tell when they look the same.
21062,B002QWP89S,A2RWZY0CD32TZF,B. Diane Sheely,0,0,5,1347667200,Greenies,My dog looks forward everyday to getting his Greenies.  It is a great toothbrush and keeps him from having too much tarter on his teeth.
356093,B002QWP8H0,AHL0TI6H9FALR,"Old School but Kicking ""Foggy""",7,25,1,1278374400,"The Ultimate Consumer ""Fraud.""","We have two St. Bernards, one of whom is close to ancient, and last year she developed a dental problem.  Someone mentioned GREENIES and off we went to find our old girl something to help her age gracefully and hopefully without pain.  Well, she just loved them - as did the younger Saint - and here we are a couple of thousand dollars later wondering how to wean at least the younger dog off these obviously addictive green hard gel bones that don't have a single expensive ingredient in them.  The packaging, however, is nicer than that of most department stores but just how many of those boxes do I really want?<br /><br />I have calculated that the most expensive dentist around here would have cost less than the dent Greenies have made in my pocketbook.  So this is a warning to first time browsers - move on to another product that might well do the job for a third of the money.  A stop at your local butcher's shop could be cost saving compared to these overpriced pieces of strange green.  Someone should tell these folks that we are inching toward a depression because to date their reaction to what must be declining sales is to just keep upping the price."
24130,B0013NUGDE,A13ML5W7NK1M7O,Jocelyn,1,2,3,1348185600,LOVE these with one caveat,"I am surprised just how yummy these chips are and my kids ADORE them. They have no artificial anything which is important as my kids are on the Feingold diet which eliminates all artificial coloring, preservatives, and flavors. The only thing that kept me from a higher star rating is the choice of oil they used to coat the chips. I have NO PROBLEM with oil as I believe fat is GOOD for us and the great thing is they coat the chips with oil AFTER they heat them so they don't create free radicals. That said, the ingredient list says, ""sunflower, safflower, and/or canola oil."" Hmmmm... that's not very definitive!<br /><br />Sunflower and safflower oil are good but canola is a FRANKENFOOD that I don't want my kids to eat. Sigh... a yummy possibility spoiled by canola oil."
23712,B0013NUGDE,A1E8EJBUPY3ZAC,D. Pratt,1,1,5,1273276800,PopChips have ruined other chips for me!,"I &lt;3 Popchips...maybe a little TOO much!  I was devastated when COSTCO stopped selling them, but that subsided once I found them by the case on Amazon.com.  I have subscription of 1 box per month and often contemplate increasing that order.<br /><br />BBQ is the BEST!"
329616,B002QWHJOU,APCTA6EH9DD4A,"adp ""amber""",0,0,5,1332374400,Puppy love,I have a pitbull who loves her treats I'm obsessed with keeping her healthy so these work great on her teeth and they're a great price!
563174,B007JFMH8M,A10HCDJHR436EJ,Marisa,0,0,3,1342569600,Not tasty,I dont like how it tastes because i don't like oatmeal or raisins but if you like them then i think its good to eat these cookies because they're healthy and you will probably like the taste.
21592,B002QWP89S,A3BSV8EOS43FVN,Molly's Mom,1,1,3,1329091200,Greenies,"My medium sized dog will not chew rubber bones.  So I bought greenies hoping the chewing would help keep her teeth clean.<br />she is overweight so I don't give her extra treats during the day.  Unfortunately the Greenies are not as hard as I thought, she is able to bite off and swallow the pieces within a minute or two."
189488,B001EO5Q64,A1O0OHTBQSQQAG,"L. Cabrera ""Limba""",1,1,5,1309046400,best oil for cooking,"Coconut oil has become the only oil I will use for cooking, especially organic ones. It gives food just the right amount of aroma and flavor. Nutiva is a major brand you can trust, though I've tried & used other brands from local healthfood stores as well. It annoys me that some books & health professionals still knock coconut oil as a fat to avoid on the premise that it's a naturally saturated fat, when in fact it's a tremendously healthy product. SOme say that it helps your body converts fat into energy better as well."
